latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
0.04678,127.42591999999999,336.4,0.49,0.65,2019-11-17,412,N,nominal,1.0NRT,288.9,4.3,D
0.10302,127.43108000000001,326.1,0.49,0.65,2019-11-17,412,N,nominal,1.0NRT,289.2,6.4,D
1.08023,124.97493999999999,331.6,0.69,0.74,2019-11-17,412,N,nominal,1.0NRT,290.0,30.6,D
1.0792700000000002,124.96896000000001,355.7,0.69,0.74,2019-11-17,412,N,nominal,1.0NRT,292.0,36.8,D
1.07958,124.97256000000002,367.0,0.69,0.74,2019-11-17,412,N,high,1.0NRT,290.5,25.7,D
1.07859,124.96661,353.1,0.69,0.74,2019-11-17,412,N,nominal,1.0NRT,290.3,25.7,D
2.11393,128.2999,336.5,0.39,0.6,2019-11-17,412,N,nominal,1.0NRT,294.0,2.9,D
-8.39761,137.75031,336.9,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,302.8,4.1,D
-8.38954,137.78116,332.0,0.43,0.38,2019-11-17,406,N,low,1.0NRT,300.1,5.3,D
-8.3941,137.7498,336.3,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.0,4.1,D
-8.35418,137.82779,337.2,0.43,0.38,2019-11-17,406,N,low,1.0NRT,301.7,7.5,D
-8.36872,137.70193,345.0,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.6,6.4,D
-8.36928,137.69801,336.8,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.8,5.2,D
-8.3652,137.70141999999998,335.4,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.0,6.4,D
-8.36576,137.69749,344.2,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.0,5.2,D
-8.36168,137.70091000000002,340.2,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.6,5.6,D
-8.35816,137.70039,333.0,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.5,5.6,D
-8.35873,137.69646,337.7,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.7,7.3,D
-8.34116,137.79404,334.1,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.7,5.3,D
-8.34677,137.7549,339.5,0.43,0.38,2019-11-17,406,N,low,1.0NRT,299.5,6.3,D
-8.35408,137.70383,347.6,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,306.1,15.5,D
-8.35465,137.69988999999998,340.6,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.1,15.5,D
-8.342139999999999,137.76224,335.8,0.43,0.38,2019-11-17,406,N,low,1.0NRT,300.5,5.9,D
-8.33276,137.84848,335.9,0.43,0.38,2019-11-17,406,N,low,1.0NRT,301.7,8.3,D
-8.34083,137.79401000000001,334.7,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.6,5.2,D
-8.34661,137.75494,339.5,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,299.8,6.0,D
-8.35416,137.70393,348.0,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,305.7,16.3,D
-8.35474,137.7,342.2,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.5,16.3,D
-8.34195,137.76225,335.9,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.1,6.4,D
-8.33671,137.77347,345.1,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.8,9.3,D
-8.33844,137.76173,342.3,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,301.5,7.4,D
-8.31713,137.88182,341.0,0.43,0.38,2019-11-17,406,N,low,1.0NRT,301.4,14.9,D
-8.31827,137.87407,340.1,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.6,9.0,D
-8.32687,137.81586000000001,351.4,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.7,9.0,D
-8.31822,137.85033,339.3,0.43,0.38,2019-11-17,406,N,low,1.0NRT,304.0,10.2,D
-8.323369999999999,137.81535,340.0,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,302.5,7.8,D
-8.321539999999999,137.77924,341.2,0.43,0.38,2019-11-17,406,N,low,1.0NRT,304.8,8.9,D
-8.32436,137.7357,333.7,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.3,5.8,D
-8.322569999999999,137.72342,340.2,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.5,5.1,D
-8.2979,137.86716,348.3,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.8,10.4,D
-8.30702,137.80501,338.2,0.43,0.38,2019-11-17,406,N,low,1.0NRT,304.7,9.0,D
-8.30817,137.79721,334.8,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.9,6.8,D
-8.318489999999999,137.72683999999998,338.6,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.4,10.8,D
-8.31906,137.72292,337.8,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.4,5.1,D
-8.294410000000001,137.86664,351.6,0.43,0.38,2019-11-17,406,N,nominal,1.0NRT,303.3,12.4,D
-8.28631,137.72615,340.4,0.43,0.38,2019-11-17,406,N,low,1.0NRT,304.7,5.2,D
-8.28688,137.72223,336.5,0.43,0.38,2019-11-17,406,N,low,1.0NRT,302.4,5.2,D
-8.267510000000001,137.83102,333.9,0.43,0.38,2019-11-17,406,N,low,1.0NRT,301.9,6.6,D
-8.2828,137.72563,335.3,0.43,0.38,2019-11-17,406,N,low,1.0NRT,303.0,5.2,D
-7.92731,138.15988000000002,333.7,0.41,0.37,2019-11-17,406,N,low,1.0NRT,308.0,11.2,D
-7.604260000000001,138.71967,339.9,0.4,0.37,2019-11-17,406,N,nominal,1.0NRT,277.8,20.0,D
-7.55495,138.69759,331.9,0.4,0.37,2019-11-17,406,N,nominal,1.0NRT,286.2,2.2,D
-7.45947,138.54245,326.4,0.4,0.37,2019-11-17,406,N,nominal,1.0NRT,288.0,2.1,D
-8.10672,131.05243000000002,339.4,0.36,0.58,2019-11-17,406,N,nominal,1.0NRT,295.9,3.5,D
